Reporting org id,Reporting org name
#org+id+reporting,#org+name+reporting
es-dir3-ea0035768,AECID Spanish Agency for International Development Cooperation
xm-dac-6-4,AICS - Italian Agency for Cooperation and Development
be-bce_kbo-0546740696,Académie de recherche et d'enseignement supérieur - ARES
ke-ncb-op/218/051/924/84,ActionAid International Kenya
gb-chc-274467,ActionAid UK
gb-coh-2732176,Adam Smith International
us-ein-11-3803281,African Center for Economic Transformation
xm-dac-46002,African Development Bank
nl-kvk-27327087,Akvo Foundation
us-ein-98-0513530,Alliance for a Green Revolution in Africa
nl-kvk-41150298,Amref Flying Doctors
tz-brla-4368,Amref Health Africa Tanzania
ug-ngb-5914-252,Amref Health Africa Uganda
xm-dac-46004,Asian Development Bank
be-bce_kbo-0415880570,Association pour la Promotion de l'Education et de la Formation à l'Etranger
au-5,Australian Aid
be-bce_kbo-0408095925,Auto-Développement Afrique
be-bce_kbo-0423588904,Autre Terre asbl
be-bce_kbo-0461634084,Belgian Red Cross-Flanders
be-bce_kbo-0264814354,Belgian development agency (Enabel)
be-bce_kbo-0478060441,Beweging voor Internationale Solidariteit - Mouvement pour la Solidarité Internationale (BIS-MSI)
dac-1601,Bill and Melinda Gates Foundation
nl-kvk-41210098,Both ENDS
gb-chc-220949,British Red Cross
be-bce_kbo-0418088113,Broederlijk Delen
gb-chc-292506,CARE International UK
nl-kvk-41158230,CARE Nederland
gb-chc-1122330,CDP Worldwide
xm-dac-47015,CGIAR
dk-cvr-44623528,COWI A/S
dk-cvr-29439915,Caritas Denmark
be-bce_kbo-0410644946,Caritas International (Belgium)
fr-rcs-78049888700022,Centre International de Développement et de Recherche
be-bce_kbo-0421207751,Centre National de Coopération au Développement
be-bce_kbo-0461076236,Centre Tricontinental
gb-chc-326568,Charity Projects Ltd (Comic Relief)
us-ein-52-2145827,Chemonics International Inc
gb-chc-1105851,Christian Aid
gb-lae-lnd,City of London Corporation
nl-kvk-41210820,Clean Clothes Campaign
us-ein-26-4129153,Climate Policy Initiative
be-bce_kbo-0448755949,Collectif Stratégies Alimentaires
ie-chy-20009090,Concern Worldwide
gb-chc-1092236,Concern Worldwide (UK)
be-bce_kbo-0417549465,Coopération Education Culture
nl-kvk-41160054,Cordaid
gb-coh-11373728,Cowater UK Limited
ca-cra_acr-101182509,CowaterSogema International Inc
nl-kvk-64460789,Coöperatief Climate Fund Managers U.A.
be-bce_kbo-0462132150,Croix-Rouge de Belgique Communauté francophone - Activités internationales ASBL
gb-coh-1858644,DAI Europe
xm-dac-21-1,DFAT / Irish Aid
in-mca-in-mca-aae-8458,Deloitte Touche Tohmatsu India LLP
nl-kvk-41146461,Deltares
gb-gov-13,"Department for Business, Energy and Industrial Strategy"
gb-gov-7,"Department for Environment, Food, and Rural Affairs"
ca-4,Department of Finance Canada
mw-cnm-21,Development Aid from People to People
gb-coh-06368740,Development Initiatives Poverty Research
xm-dac-2-10,Directorate-general Development Cooperation and Humanitarian Aid
be-bce_kbo-0408022778,Djapo
be-bce_kbo-0433439550,Défi Belgique Afrique
be-bce_kbo-0432503697,Eclosio asbl
be-bce_kbo-0418015461,Entraide et Fraternité
xi-iati-ebrd,European Bank for Reconstruction and Development
nl-kvk-41077447,European Centre for Development Policy Management (ECDPM)
xi-iati-ec_intpa,European Commission - International Partnerships
xi-iati-ec_near,European Commission - Neighbourhood and Enlargement Negotiations
xi-iati-ec_fpi,European Commission – Service for Foreign Policy Instruments
xm-dac-918-3,European Investment Bank
nl-kvk-41078390,European Journalism Centre
be-bce_kbo-0432622077,FIAN Belgium
be-bce_kbo-0432552989,FONDS VOOR ONTWIKKELINGSSAMENWERKING - SOCIALISTISCHE SOLIDARITEIT VZW
be-bce_kbo-0441988715,Fairtrade Belgium vzw
de-1,Federal Ministry for Economic Cooperation and Development (BMZ)
be-bce_kbo-0418766123,Flemish Interuniversity Council for University Development Cooperation (VLIR-UOS)
xm-dac-41301,Food and Agriculture Organization (FAO)
ca-3,"Foreign Affairs, Trade and Development Canada (DFATD)"
gb-gov-1,"Foreign, Commonwealth and Development Office"
be-bce_kbo-0416934803,Forum Universitaire pour la Coopération Internationale au Développement
nl-kvk-56484038,Foundation ICCO
nl-kvk-40535338,Friends of the Earth International
gb-chc-1107403,GOAL UK
xm-dac-5-7,Germany - Federal Foreign Office
xi-bridge-6385676864,Global Environment Facility
xm-dac-47136,Global Green Growth Institute
us-ein-300108263,GlobalGiving
gb-coh-06407873,HTSPE
be-bce_kbo-0432235661,Handicap International Belgique
nl-kvk-41198677,Hivos
nl-kvk-53521129,"IDH, the Sustainable Trade Initiative"
nl-kvk-41146484,IHE Delft Institute for Water Education
gb-coh-02651349,IMC WORLDWIDE LTD
nl-kvk-41180885,IUCN Netherlands Committee
be-bce_kbo-0408908151,Iles de Paix
47134,Implementing
47135,Implementing
be-bce_kbo-0445412518,Institute for International Workers' Education
be-bce_kbo-0410057701,Instituut voor Tropische Geneeskunde
gb-coh-07321996,Integrity Research and Consultancy Ltd
xi-iati-iadb,Inter-American Development Bank
xi-iati-iki,International Climate Initiative (IKI)
us-ein-23-2220051,International Development Enterprises
xm-dac-47059,International Development Law Organization (IDLO)
xm-dac-301-2,International Development Research Centre
xm-dac-903,International Finance Corporation
xm-dac-41108,International Fund for Agricultural Development
xm-dac-41302,International Labour Organization (ILO)
xi-pb-402,International Network for Bamboo and Rattan
xm-dac-30011,International Union for Conservation of Nature
xm-dac-701-8,Japan International Cooperation Agency
be-bce_kbo-0417299047,Join For Water (Protos)
be-bce_kbo-0416867297,KIYO
gb-coh-oc301540,KPMG LLP
be-bce_kbo-0421210424,Koepel van de Vlaamse Noord-Zuidbeweging 11.11.11 VZW
gb-coh-sc100833,LTS International Limited
bd-roc-c-107131,LightCastle Partners
gb-sc-sc030289,MERCY CORPS EUROPE
xm-dac-701-2,MINISTRY OF FOREIGN AFFAIRS IN JAPAN
nl-kvk-30195730,MVO Nederland
be-bce_kbo-0415426155,Miel Maya Honing asbl
nl-kvk-40530467,Milieudefensie
xm-dac-69-18,Ministry of Environment of the Slovak Republic
xm-dac-69-3,Ministry of Finance of Slovak Republic
es-dir3-e04585801,"Ministry of Foreign Affairs and Cooperation, Spain"
xm-dac-7,Ministry of Foreign Affairs of the Netherlands
xm-dac-84,Ministry of Foreign Affairs of the Republic of Lithuania
xm-dac-3-1,"Ministry of Foreign Affairs, Denmark"
fi-3,"Ministry of Foreign Affairs, Finland"
xm-dac-236,Ministère de l'Economie et des Finances du Benin
gb-coh-1110949,Mott MacDonald Group Limited
nl-kvk-27189542,NIMD
gb-coh-00986729,"Natural Resources Institute, University of Greenwich"
us-ein-13-1624114,Near East Foundation
nl-kvk-41185216,Netherlands Commission for Environmental Assessment
nl-kvk-27378529,Netherlands Enterprise Agency
nz-1,New Zealand Ministry of Foreign Affairs and Trade
no-brc-971277882,Norad - Norwegian Agency for Development Cooperation
nl-kvk-56185154,"NpM, Platform for Inclusive Finance"
gb-coh-07157505,ODI Sales Limited
gb-chc-228248,Overseas Development Institute
au-acnc-18055208636,Oxfam Australia
gb-chc-202918,Oxfam GB
nl-kvk-27108436,Oxfam Novib
be-bce_kbo-0408643875,Oxfam Solidarité-Solidariteit
be-bce_kbo-0416486821,Oxfam-Magasins du monde
ca-cra_acr-119075091,Oxfam-Quebec
gb-coh-03122495,Oxford Policy Management Ltd
nl-kvk-30214009,PAX
nl-kvk-09119363,PRACTICA Foundation
ke-ncb-op.218/051/2009/0496/g065,Pan African Climate Justice Alliance
be-bce_kbo-0425420917,Plan International Belgium
nl-kvk-41198890,Plan International Netherlands
gb-coh-871954,Practical Action
gb-coh-03580586,PricewaterhouseCoopers LLP
gb-coh-07676886,Publish What You Fund
nl-kvk-34200988,RAIN foundation
nl-kvk-32102434,RUAF Foundation
gb-chc-1047653,Raleigh International
dk-cvr-63407216,Red Barnet
nl-kvk-27267681,Red Cross Red Crescent Climate Centre
nl-kvk-41152786,SNV Netherlands Development Organisation
be-bce_kbo-0425410524,SOS FAIM
be-bce_kbo-0431955945,Sensorial Handicap Cooperation
xm-dac-69-2,Slovak Aid
nl-kvk-27363950,Sociaal-Economische Raad
bj-ifu-32000700033415,Société Nationale des Eaux du Benin
be-bce_kbo-0410757386,Solidagro
nl-kvk-51756811,Solidaridad
nl-kvk-41150939,Solidaridad Europa
hk-cr-1494242,Solidaridad South & South-East Asia
gh-dsw-5574,Solidaridad West Africa
be-bce_kbo-0432624255,Solsoc
mx-rfc-slp1412039f3,Soluciones en Legislación y Política Ambiental AC
za-npo-048-364,SouthSouthNorth
nl-kvk-41213450,Spark head office Amsterdam
nl-kvk-41217595,Stichting ActionAid
nl-kvk-41048542,Stichting Agriterra
nl-kvk-40594571,Stichting Simavi
nl-kvk-41118168,Stichting Woord en Daad
se-0,Sweden
ch-4,Swiss Agency for Development and Cooperation (SDC)
us-ein-13-2626135,TechnoServe
nl-kvk-06702132,Tetra Tech International Development B.V.
gb-chc-1102909,The Climate Change Organisation
xi-iati-cwsec,The Commonwealth Secretariat
nl-kvk-40409352,The Netherlands Red Cross
us-ein-941655673,The William and Flora Hewlett Foundation
us-usagov,The federal government of the United States
nl-kvk-77583442,Transition International
nl-kvk-41201806,Transnational Institute
bd-nab-1301,Transparency International Bangladesh
be-bce_kbo-0427736148,Trias
ie-chy-20009601,Trocaire
gb-coh-ni21482,Trocaire (Northern Ireland)
nl-kvk-41155305,Tropenbos International
gb-gov-10,UK - Department of Health and Social Care (DHSC)
gb-gov-50,UK - Prosperity Fund
be-bce_kbo-0415627875,ULB-Coopération
xm-dac-41116,UN Environment
41120,UN-Habitat
xm-dac-41122,UNICEF
nl-kvk-34159275,UTZ - joined forces with Rainforest Alliance
nl-kvk-40407706,Unie van Waterschappen
xm-dac-41111,United Nations Capital Development Fund (UNCDF)
xm-dac-41114,United Nations Development Programme
xm-dac-41304,"United Nations Educational, Scientific and Cultural Organization (UNESCO)"
us-ein-58-2368165,United Nations Foundation
xm-dac-41123,United Nations Industrial Development Organization
41aaa,United Nations Office for Project Services
xm-ocha-cbpf,United Nations Office for the Coordination of Humanitarian Affairs
us-gov-1,United States Agency for International Development (USAID)
be-bce_kbo-0420790948,Universitair Centrum voor Ontwikkelingssamenwerking
gb-coh-sc301345,Upper Quartile
nl-kvk-08134161,VEI
be-bce_kbo-0442168263,VETERINAIRES SANS FRONTIERES / DIERENARTSEN ZONDER GRENZEN - BELGIUM
nl-kvk-27195046,VNG International
be-bce_kbo-0423616717,VVOB Education for Development
be-bce_kbo-0451857573,VVSG - Association of Flemish Cities and Municipalities
xi-iati-wai,WASH Alliance International
nl-kvk-41172933,WASTE advisers on urban environment and development
be-bce_kbo-0413986102,WSM
nl-kvk-41177588,WWF Netherlands
be-bce_kbo-0408656248,WWF-Belgium
gb-chc-1081247,WWF-UK
nl-kvk-09098104,Wageningen University & Research - Stichting Wageningen Research
nl-kvk-60633468,Water Finance Facility
se-on-802004-1524,We Effect (fd Kooperation Utan Gränser)
nl-kvk-9099028,Wetlands International
ng-cac-495140,Women Environmental Programme
44000,World Bank
xi-iati-wbtf,World Bank Trust Funds (WBTF)
xm-dac-928,World Health Organization
us-ein-521257057,World Resources Institute
nl-kvk-41179943,World Vision Netherlands
nl-kvk-34271281,World Waternet
dk-cvr-40781218,World Wide Fund for Nature Denmark
gb-chc-265464,tearfund
